base_rate,corr_pop_dep,threshold,overdisp,mean_suppressed,RR_true,RR_cc_wt,RR_cc_unwt,relbias_wt,relbias_unwt
5,-0.3,16,0.0,0.7,4.425,4.413,4.424,-0.003,-0.0
5,-0.3,16,0.5,0.731,4.437,4.381,4.351,-0.013,-0.019
15,-0.3,16,0.0,0.409,4.433,4.425,4.423,-0.002,-0.002
15,-0.3,16,0.5,0.479,4.439,4.406,4.336,-0.007,-0.023
50,-0.3,16,0.0,0.145,4.43,4.429,4.434,-0.0,0.001
50,-0.3,16,0.5,0.22,4.444,4.458,4.371,0.003,-0.016
150,-0.3,16,0.0,0.035,4.442,4.442,4.439,0.0,-0.001
150,-0.3,16,0.5,0.079,4.437,4.477,4.401,0.009,-0.008
